schoolID,Round32,Sweet16,Elite8,Final4,Final,Champion
UAB2015,1,0,0,0,0,0
North Dakota St.2015,0,0,0,0,0,0
North Florida2015,0,0,0,0,0,0
Robert Morris2015,0,0,0,0,0,0
Kentucky2015,1,1,1,1,0,0
Kansas2015,1,0,0,0,0,0
Notre Dame2015,1,1,1,0,0,0
Maryland2015,1,0,0,0,0,0
West Virginia2015,1,1,0,0,0,0
Butler2015,1,0,0,0,0,0
Wichita St.2015,1,1,0,0,0,0
Cincinnati2015,1,0,0,0,0,0
Purdue2015,0,0,0,0,0,0
Indiana2015,0,0,0,0,0,0
Texas2015,0,0,0,0,0,0
Buffalo2015,0,0,0,0,0,0
Valparaiso2015,0,0,0,0,0,0
Northeastern2015,0,0,0,0,0,0
New Mexico St.2015,0,0,0,0,0,0
Manhattan2015,0,0,0,0,0,0
Hampton2015,0,0,0,0,0,0
Villanova2015,1,0,0,0,0,0
Virginia2015,1,0,0,0,0,0
Oklahoma2015,1,1,0,0,0,0
Louisville2015,1,1,1,0,0,0
Northern Iowa2015,1,0,0,0,0,0
Providence2015,0,0,0,0,0,0
Michigan St.2015,1,1,1,1,0,0
North Carolina St.2015,1,1,0,0,0,0
LSU2015,0,0,0,0,0,0
Georgia2015,0,0,0,0,0,0
Boise St.2015,0,0,0,0,0,0
Dayton2015,1,0,0,0,0,0
Wyoming2015,0,0,0,0,0,0
UC Irvine2015,0,0,0,0,0,0
Albany2015,0,0,0,0,0,0
Belmont2015,0,0,0,0,0,0
Lafayette2015,0,0,0,0,0,0
Yale2016,1,0,0,0,0,0
North Carolina2016,1,1,1,1,1,0
Stony Brook2016,0,0,0,0,0,0
Connecticut2016,1,0,0,0,0,0
Saint Joseph's2016,1,0,0,0,0,0
Florida Gulf Coast2016,0,0,0,0,0,0
Kansas2016,1,1,1,0,0,0
Seton Hall2016,0,0,0,0,0,0
Weber St.2016,0,0,0,0,0,0
UNC Asheville2016,0,0,0,0,0,0
Michigan St.2016,0,0,0,0,0,0
Hawaii2016,1,0,0,0,0,0
UNC Wilmington2016,0,0,0,0,0,0
Middle Tennessee2016,1,0,0,0,0,0
Green Bay2016,0,0,0,0,0,0
Iona2016,0,0,0,0,0,0
Buffalo2016,0,0,0,0,0,0
Hampton2016,0,0,0,0,0,0
Northern Iowa2016,1,0,0,0,0,0
Fresno St.2016,0,0,0,0,0,0
Fairleigh Dickinson2016,0,0,0,0,0,0
Austin Peay2016,0,0,0,0,0,0
Oregon2016,1,1,1,0,0,0
Holy Cross2016,0,0,0,0,0,0
Kentucky2016,1,0,0,0,0,0
Chattanooga2016,0,0,0,0,0,0
Stephen F. Austin2016,1,0,0,0,0,0
South Dakota St.2016,0,0,0,0,0,0
Arkansas Little Rock2016,1,0,0,0,0,0
Southern2016,0,0,0,0,0,0
Cal St. Bakersfield2016,0,0,0,0,0,0
Gonzaga2016,1,1,0,0,0,0
Arizona2016,0,0,0,0,0,0
Baylor2016,0,0,0,0,0,0
Butler2016,1,0,0,0,0,0
California2016,0,0,0,0,0,0
Cincinnati2016,0,0,0,0,0,0
Colorado2016,0,0,0,0,0,0
Dayton2016,0,0,0,0,0,0
Duke2016,1,1,0,0,0,0
Indiana2016,1,1,0,0,0,0
Iowa2016,1,0,0,0,0,0
Iowa St.2016,1,1,0,0,0,0
Maryland2016,1,1,0,0,0,0
Miami FL2016,1,1,0,0,0,0
Michigan2016,0,0,0,0,0,0
Notre Dame2016,1,1,1,0,0,0
Oklahoma2016,1,1,1,1,0,0
Oregon St.2016,0,0,0,0,0,0
Pittsburgh2016,0,0,0,0,0,0
Providence2016,1,0,0,0,0,0
Purdue2016,0,0,0,0,0,0
Syracuse2016,1,1,1,1,0,0
Temple2016,0,0,0,0,0,0
Texas2016,0,0,0,0,0,0
Texas A&M2016,1,1,0,0,0,0
Texas Tech2016,0,0,0,0,0,0
Tulsa2016,0,0,0,0,0,0
USC2016,0,0,0,0,0,0
Utah2016,1,0,0,0,0,0
Vanderbilt2016,0,0,0,0,0,0
VCU2016,1,0,0,0,0,0
Villanova2016,1,1,1,1,1,1
Virginia2016,1,1,1,0,0,0
West Virginia2016,0,0,0,0,0,0
Wichita St.2016,1,0,0,0,0,0
Wisconsin2016,1,1,0,0,0,0
Xavier2016,1,0,0,0,0,0
Villanova2017,1,0,0,0,0,0
Duke2017,1,0,0,0,0,0
Baylor2017,1,1,0,0,0,0
Florida2017,1,1,1,0,0,0
Virginia2017,1,0,0,0,0,0
SMU2017,0,0,0,0,0,0
South Carolina2017,1,1,1,1,0,0
Wisconsin2017,1,1,0,0,0,0
Virginia Tech2017,0,0,0,0,0,0
Marquette2017,0,0,0,0,0,0
Providence2017,0,0,0,0,0,0
